"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"185","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAFGJL01"
"186","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAGOLR01"
"187","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAGVGJ01"
"188","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAHFGN01"
"189","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAHFGO01"
"190","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAKLDX01"
"191","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAMWCX01"
"192","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAPLMF01"
"193","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAPLMI01"
"195","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAQUQN01"
"196","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAQUSE01"
"197","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JAUYDB01"
"198","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JBAYFK01"
"199","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JBAZKM01"
"200","2-01-FULL-45-11","FALSE","Bacteria","Patescibacteriota","Microgenomatia","UBA1400","2-01-FULL-45-11"
"201","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","2-01-FULL-45-33"
"204","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","DATDWI01"
"205","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","DATDXD01"
"207","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","GWA1-44-25"
"209","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","GWA1-44-29"
"212","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","JACOXN01"
"213","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","JBBTXM01"
"214","2-01-FULL-45-33","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA11713","MFHE01"
"216","2-01-FULL-46-14","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","2-01-FULL-46-14"
"218","2-01-FULL-46-14","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JAHFJD01"
"219","2-01-FULL-46-14","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JAUYKH01"
"220","2-01-FULL-46-14","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JBGQGB01"
